19	chr1	116535434	118509284	121535434	LOW
33	chr1	244240621	247737493	249240621	LOW
48	chr2	95326171	98928757	100326171	UP
49	chr2	95326171	99271976	100326171	UP
61	chr2	238189373	241661934	243189373	LOW
74	chr3	93504854	93769712	98504854	UP
88	chr3	193012430	197482687	198012430	LOW
89	chr4	10000	1843275	5010000	UP
91	chr4	52660117	52926666	57660117	UP
100	chr4	186144276	187078745	191144276	LOW
101	chr4	186144276	187088399	191144276	LOW
102	chr5	10000	1235744	5010000	UP
120	chr5	175905260	180630512	180905260	LOW
140	chr6	166105067	168461634	171105067	LOW
141	chr7	10000	4874735	5010000	UP
160	chr8	10000	196121	5010000	UP
165	chr8	46838887	48719844	51838887	UP
172	chr8	141354022	142225961	146354022	LOW
173	chr8	141354022	144995500	146354022	LOW
174	chr9	10000	710915	5010000	UP
196	chr11	10000	803401	5010000	UP
199	chr11	46644205	46702070	51644205	LOW
200	chr11	54644205	57982635	59644205	UP
201	chr11	54644205	59283146	59644205	UP
229	chr12	128841895	130185048	133841895	LOW
234	chr14	19000000	20763603	24000000	UP
235	chr14	19000000	21109505	24000000	UP
236	chr14	19000000	21458649	24000000	UP
237	chr14	19000000	21460770	24000000	UP
248	chr15	97521392	99670400	102521392	LOW
249	chr16	10000	348021	5010000	UP
253	chr16	30335801	31341424	35335801	LOW
254	chr16	30335801	31539927	35335801	LOW
265	chr17	17263006	18881605	22263006	LOW
266	chr17	17263006	19232078	22263006	LOW
267	chr17	17263006	19474875	22263006	LOW
268	chr17	25263006	28454908	30263006	UP
269	chr17	25263006	28651840	30263006	UP
283	chr19	10000	757752	5010000	UP
299	chr19	54118983	54947332	59118983	LOW
300	chr19	54118983	54973653	59118983	LOW
301	chr19	54118983	56011279	59118983	LOW
302	chr19	54118983	56133551	59118983	LOW
303	chr19	54118983	56720362	59118983	LOW
304	chr20	10000	826127	5010000	UP
306	chr20	21369569	23546709	26369569	LOW
307	chr20	29369569	34092213	34369569	UP
