11	chr1	116535434	118491102	121535434	LOW
12	chr1	116535434	118495153	121535434	LOW
13	chr1	116535434	118582057	121535434	LOW
20	chr2	10000	277229	5010000	UP
48	chr4	10000	1705403	5010000	UP
49	chr4	10000	2233852	5010000	UP
53	chr4	44660117	47322190	49660117	LOW
56	chr5	10000	181729	5010000	UP
68	chr6	10000	4070079	5010000	UP
77	chr6	166105067	167184378	171105067	LOW
79	chr7	53054331	55240803	58054331	LOW
87	chr8	10000	3047495	5010000	UP
89	chr8	46838887	48733471	51838887	UP
98	chr9	136203431	140140104	141203431	LOW
105	chr10	130524747	131964784	135524747	LOW
106	chr11	10000	681078	5010000	UP
107	chr11	10000	1276736	5010000	UP
113	chr12	10000	4724995	5010000	UP
125	chr14	19000000	21025220	24000000	UP
126	chr14	19000000	23282512	24000000	UP
137	chr15	97521392	101593597	102521392	LOW
138	chr16	10000	817407	5010000	UP
139	chr16	10000	2052641	5010000	UP
141	chr16	30335801	31090666	35335801	LOW
147	chr16	85344753	89293281	90344753	LOW
154	chr18	18460898	20573434	23460898	UP
159	chr19	10000	1918193	5010000	UP
160	chr19	10000	3611927	5010000	UP
165	chr19	19681782	23543078	24681782	LOW
170	chr20	10000	468186	5010000	UP
172	chr20	29369569	34067573	34369569	UP
176	chr21	14288129	16015413	19288129	UP
