chr22	40513058	40513132
chr22	40521775	40521866
chr22	40552118	40552186
chr22	40573928	40574144
chr22	40642018	40642106
chr22	40647182	40647204
chr22	40657835	40658177
chr22	40660691	40663040
chr22	40666125	40666284
chr22	40669428	40669604
chr22	40673080	40673155
chr22	40674002	40674048
chr22	40675998	40676147
chr22	40677122	40677293
chr22	40681648	40681774
chr22	40696458	40696590
chr22	40696913	40697009
chr22	40697153	40697337
chr22	40704515	40704653
chr22	40706820	40706997
chr22	40708508	40708655
chr22	40708905	40709001
chr22	40711286	40711511
chr22	40711945	40712016
chr22	40717093	40717790
chr22	40742503	40742715
chr22	40745835	40746039
chr22	40749076	40749121
chr22	40750251	40750331
chr22	40754867	40755039
chr22	40755263	40755310
chr22	40756405	40756496
chr22	40757091	40757346
chr22	40757491	40757670
chr22	40758984	40759075
chr22	40760279	40760369
chr22	40760883	40761060
chr22	40762439	40762575
chr22	40766594	40766692
chr22	40796699	40796817
chr22	40797596	40797679
chr22	40798142	40798209
chr22	40800250	40800459
chr22	40800560	40800668
chr22	40801144	40801288
chr22	40801652	40801848
chr22	40802081	40802666
chr22	40803020	40803075
chr22	40803204	40803332
chr22	40803416	40803572
chr22	40803792	40803847
chr22	40804074	40804124
chr22	40804280	40804433
chr22	40804630	40804701
chr22	40804797	40804846
chr22	40804936	40805376
chr22	40805468	40805529
chr22	40805685	40808898
chr22	40812979	40813050
chr22	40813344	40813497
chr22	40814377	40815388
chr22	40816408	40816580
chr22	40816850	40817104
chr22	40819539	40819689
chr22	40820209	40820385
chr22	40825609	40825771
chr22	40827408	40827484
chr22	40831502	40831558
chr22	40859224	40859438
chr22	40948109	40948371
chr22	40990677	40990739
chr22	40718857	40731812
